areaName,Borough,areaType,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
All Downtown,Manhattan,submarket,3200,3200,3015,3100,3100,3200,3195,3198,3400,3495,3450,3400,3350,3395,3300,3300,3378,3400,3375,3495,3600,3650,3550,3495,3450,3450,3500,3500,3550,3550,3500,3550,3610,3600,3650,3650,3510,3500,3500,3500,3500,3500,3500,3550,3650,3650,3695,3600,3615,3600,3600,3651,3646,3595,3595,3595,3645,3600,3600,3600,3600,3641,3650,3700,3750,3700,3700,3769,3795,3800,3750,3770,3700,3700,3750,3795,3800,3850,3880,3795,3795,3751,3700,3650,3650,3700,3695,3700,3785,3724,3725,3700,3653,3662,3673,3625,3650,3750,3735,3750,3837,3800,3795,3800,3825,3800,3850,3799,3800,3850,3800,3939,4000,4050,4000,3995,4000,4050,4050,4000,4000,3999,3995,3851,3700,3606,3500,3395,3295,3200,3140,3150,3150,3195,3200,3215,3350,3595,3800,4000,4195,4300,4361,4400,4500,4595,4595,4725,4800,4768,4800,4800,4870,4850,4795,4800,4825,4950,4800,4873,4950,4950,4895,4807,4842,4700,4700,4750,4800,4850,4895,4953,4999,4995,4950,4900,4900,4900,4895,4900,5000,5002
All Midtown,Manhattan,submarket,2875,2800,2800,2850,2895,2950,3000,3000,3100,3100,3150,3150,3155,3195,3195,3200,3250,3300,3328,3300,3343,3375,3395,3350,3300,3250,3250,3300,3395,3395,3395,3400,3400,3400,3440,3450,3400,3400,3400,3390,3350,3395,3350,3395,3400,3395,3395,3400,3350,3390,3395,3400,3450,3450,3400,3400,3400,3450,3495,3500,3500,3500,3500,3500,3550,3550,3510,3500,3559,3500,3500,3500,3495,3500,3500,3550,3575,3500,3525,3500,3545,3500,3500,3500,3470,3495,3462,3500,3501,3530,3500,3500,3500,3500,3350,3350,3380,3395,3390,3450,3500,3500,3500,3500,3500,3529,3500,3550,3500,3550,3537,3578,3625,3675,3700,3700,3700,3685,3701,3700,3700,3700,3693,3555,3382,3245,3100,3000,2975,2900,2895,2895,2900,2931,2995,3000,3159,3267,3495,3600,3850,3950,4095,4150,4303,4320,4300,4395,4400,4395,4450,4293,4350,4285,4258,4350,4359,4491,4482,4538,4500,4500,4496,4500,4488,4352,4300,4335,4440,4410,4400,4495,4550,4525,4500,4500,4477,4441,4400,4500,4528,4599
All Upper East Side,Manhattan,submarket,2450,2450,2400,2500,2565,2570,2595,2500,2583,2550,2500,2550,2500,2500,2450,2500,2600,2695,2650,2695,2795,2800,2800,2800,2700,2700,2695,2695,2695,2750,2700,2743,2850,2795,2850,2850,2795,2800,2795,2750,2750,2750,2749,2800,2895,2850,2800,2800,2700,2795,2700,2700,2700,2700,2700,2700,2750,2750,2800,2845,2850,2900,2895,2870,2950,2995,2950,2995,3025,2999,2900,2953,2995,2975,3000,3000,3000,2995,2975,2906,2950,2950,2975,3000,2995,2995,2927,2950,2950,2950,2950,2900,2995,2950,2995,2990,2900,2895,2850,2850,2850,2900,2915,2900,2895,2995,2995,3000,3000,3000,2995,2995,3000,3050,3050,2995,3000,3100,3208,3295,3275,3250,3250,3150,3058,2950,2800,2700,2650,2500,2495,2500,2450,2475,2400,2400,2475,2500,2550,2700,2850,2950,3200,3393,3450,3550,3400,3400,3500,3500,3550,3750,3750,3800,3848,3827,3900,4000,4000,3995,4000,4000,4000,3995,4000,3995,4000,3950,3950,3995,3950,3900,3948,3900,3950,3900,3900,3900,3950,3941,3950,3995
All Upper Manhattan,Manhattan,submarket,1825,1800,1795,1800,1823,1850,1875,1850,1895,1875,1849,1850,1850,1800,1875,1895,1900,1950,1950,1983,1995,1990,1995,2000,2000,2000,2000,2000,1995,1963,2000,2050,2000,1995,2000,2000,1980,1995,2000,2000,2025,2100,2150,2150,2100,2000,2000,2000,2000,1995,2000,2090,2100,2100,2100,2128,2100,2150,2180,2190,2156,2200,2200,2200,2250,2291,2295,2300,2263,2275,2250,2250,2289,2284,2300,2374,2395,2350,2395,2400,2400,2395,2395,2385,2350,2300,2296,2337,2350,2350,2395,2395,2354,2350,2261,2295,2275,2295,2309,2350,2383,2400,2449,2400,2350,2350,2300,2300,2300,2345,2375,2400,2450,2500,2500,2495,2450,2395,2350,2350,2392,2400,2450,2470,2445,2425,2400,2350,2295,2250,2211,2200,2200,2180,2192,2200,2250,2295,2300,2300,2300,2300,2300,2350,2399,2400,2422,2500,2550,2700,2793,2750,2700,2700,2650,2600,2650,2695,2704,2800,2838,2950,2900,2900,2850,2800,2800,2795,2800,2900,2850,2995,3000,3000,3050,3000,2900,2850,2850,2850,2895,2881
All Upper West Side,Manhattan,submarket,2895,2800,2750,2800,2800,2795,2800,2895,2995,3050,3000,2995,2995,3000,2950,3000,3000,3100,3100,3200,3250,3342,3386,3495,3300,3200,3047,3150,3200,3200,3250,3300,3300,3350,3350,3300,3200,3250,3200,3200,3250,3150,3199,3250,3275,3300,3200,3230,3200,3195,3200,3293,3299,3275,3200,3200,3295,3300,3275,3250,3285,3300,3260,3300,3350,3395,3400,3495,3550,3500,3500,3495,3424,3415,3425,3450,3475,3428,3461,3400,3450,3420,3395,3345,3299,3300,3265,3295,3300,3350,3350,3375,3354,3389,3319,3344,3350,3290,3250,3290,3300,3350,3319,3313,3395,3395,3350,3398,3395,3350,3395,3453,3483,3450,3400,3500,3602,3600,3650,3570,3650,3589,3543,3419,3300,3200,3150,3000,2928,2825,2800,2819,2800,2850,2800,2850,3000,3000,3200,3300,3560,3650,3800,3950,3995,4000,4100,4247,4250,4205,4414,4450,4500,4500,4500,4450,4450,4450,4495,4500,4495,4400,4500,4500,4500,4450,4363,4250,4285,4300,4413,4500,4500,4395,4450,4361,4399,4400,4295,4400,4450,4431
Astoria,Queens,neighborhood,1600,1650,1620,1600,1700,1700,1600,1600,1600,1700,1650,1650,1600,1600,1750,1825,1900,1900,1820,1900,1900,1900,1973,2000,2000,2038,2038,2113,2100,1990,2175,2250,2250,2150,2046,2000,2000,2000,1950,2000,2200,2100,2200,2150,2150,2100,2000,2038,2100,2100,2100,2100,2100,2100,2100,2150,2200,2200,2200,2150,2200,2200,2200,2300,2300,2250,2300,2300,2200,2200,2200,2200,2200,2200,2300,2300,2300,2300,2300,2350,2309,2298,2275,2250,2250,2200,2200,2200,2200,2250,2300,2300,2250,2195,2200,2195,2150,2123,2100,2100,2200,2200,2246,2250,2250,2200,2175,2150,2199,2200,2200,2200,2268,2300,2350,2350,2350,2350,2300,2300,2333,2395,2300,2300,2280,2250,2200,2163,2100,2000,2000,1995,1950,1950,1925,1950,1999,2000,2100,2200,2200,2200,2200,2250,2258,2300,2350,2373,2500,2600,2650,2700,2795,2695,2600,2600,2695,2695,2750,2750,2750,2800,2878,2900,2850,2850,2833,2833,2800,2858,2900,2900,2950,2950,2950,2995,2900,2900,2900,2800,2850,2900
Auburndale,Queens,neighborhood,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1995,,2300,2100,1995,1995,1950,1900,1995,1995,1695,,1798,1625,1795,1850,2100,2225,2100,2048,2048,2148,2100,,1995,2195,2195,2295,2095,2195,2048,1895,1995,1495,1795,2325,2300,2300,2300,2200,2095,2098,2095,2095,2048,1995,1995,1948,2045,2045,1995,1998,1998,1900,1650,2198,2100,2100,2177,1900,1895,2000,1998,,1998,1995,1823,2000,2095,2073,2000,2152,2212,2100,2195,2000,2000,2195,2125,,2615,2407,,,,,2500,2400,2500,2557,2514,2600,,2400,,,2450,2700,2100,2050,2275,2275,2495,2937,2887,2887,,2350,2350,,3175,2850,2850,2650,2400,2363,2250,2299,,2650,,
Bath Beach,Brooklyn,neighborhood,,,,,,,,,,,,,,,,,,,,1075,1075,1188,1200,1075,1138,,,,,,,,,,,,,,,,,,,,,,1395,1625,1575,,,,2200,1725,1800,1750,1700,1450,,1550,1725,1775,1775,2000,1850,1613,1700,1700,1750,2000,2000,1898,1745,1950,2025,2175,2250,2050,2098,2000,2200,2200,1900,1900,2100,1950,1850,1950,1950,2000,1975,1950,1850,1898,2000,1848,1875,1950,2000,2023,2000,1850,1700,1675,1675,1750,1725,1675,1700,1575,1695,1675,1695,1750,1799,1795,1795,1850,1795,1795,1795,1900,2025,,1875,1800,1900,2075,1795,1700,1785,1695,1698,1750,1799,1750,1733,1799,1700,1750,1699,1699,1750,1750,1750,1675,1850,1850,1850,1795,1800,1860,2075,1994,1725,1700,1750,1960,1982,2150,2300,1900,1975,2250,2325,2249,2200,2200,2099,2200,2125,2299,2150,1975,1995,2099,2150,2050,1950,2500,2100,1943
Battery Park City,Manhattan,neighborhood,3495,3346,3268,3295,3100,3395,3200,3225,3360,3415,3348,3350,3300,3150,3195,3368,3700,3693,3625,3650,3840,3850,3700,3615,3400,3500,3500,3600,3800,3905,4450,4375,4185,4050,4100,3995,3800,3500,3500,3568,3875,3995,3850,3850,3863,3995,3850,3895,3900,4013,4100,3550,3695,4650,4300,4198,4500,4063,3898,3595,3800,3950,4000,4150,4535,4663,4700,4795,4750,4750,5100,4750,4611,4600,4595,4825,4600,4675,4650,4765,4750,4250,4050,4025,4175,3995,3910,3995,4350,4393,4515,4375,4485,4685,3890,3950,4150,4078,4050,4275,4648,4520,4650,4854,4993,4854,4500,4365,4415,4495,4300,4400,4943,5120,5190,4750,4675,4895,5250,4985,4431,4190,4200,4295,4500,4500,4275,4229,4190,3995,3750,3850,3800,3960,3997,4000,3995,4140,4300,4520,4400,4253,4660,5260,5044,5100,4758,4740,5080,5250,5613,5600,5300,5313,5048,5325,5413,5695,5438,5500,5758,5545,5995,6000,5850,5998,5450,5300,5395,4940,4830,5770,5403,5500,5994,5900,5994,5400,4795,4833,4998,4795
Bay Ridge,Brooklyn,neighborhood,1350,1375,1350,1350,1350,1350,1300,1300,1300,1400,1475,1450,1425,1425,1450,1500,1560,1510,1650,1750,1750,1550,1750,1600,1650,1495,1495,1700,1875,1450,1450,1498,1800,1725,1800,1925,1550,1498,1925,1795,1625,1600,1750,1650,1750,1650,1650,1650,1600,1600,1575,1600,1875,1900,1900,1800,1850,1800,1800,1745,1700,1700,1749,1800,1800,1800,1800,1850,1899,1850,1850,1885,1900,2000,2000,2000,2000,2100,2000,2100,2050,2100,2100,2100,2000,2000,1950,1975,2000,2000,2000,1895,1895,1900,1825,1850,2000,1995,1900,1963,1950,1950,1850,1995,2000,2000,1980,1900,1900,1999,2000,1980,1950,1900,1900,1950,1895,1900,2000,1925,1900,2000,2100,2050,1997,2000,2000,1950,1950,1850,1800,1775,1750,1750,1800,1750,1750,1750,1750,1800,1795,1775,1800,1775,1850,1900,1900,2000,2150,2250,2175,2338,2300,2200,2100,2200,2350,2300,2200,2150,2200,2299,2275,2388,2500,2400,2395,2400,2275,2300,2250,2250,2300,2400,2450,2400,2400,2300,2350,2350,2350,2500
